Question,Category,Disagree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree strongly
You regularly make new friends.,I-,-3,-2,-1,0,1,2,3
Complex and novel ideas excite you more than simple and straightforward ones.,N+,-3,-2,-1,0,1,2,3
You usually feel more persuaded by what resonates emotionally with you than by factual arguments.,T-,-3,-2,-1,0,1,2,3
Your living and working spaces are clean and organized.,P-,-3,-2,-1,0,1,2,3
"You usually stay calm, even under a lot of pressure.",Nothing,-3,-2,-1,0,1,2,3
You find the idea of networking or promoting yourself to strangers very daunting.,I+,-3,-2,-1,0,1,2,3
"You prioritize and plan tasks effectively, often completing them well before the deadline.",P-,-3,-2,-1,0,1,2,3
People’s stories and emotions speak louder to you than numbers or data.,T-,-3,-2,-1,0,1,2,3
You like to use organizing tools like schedules and lists.,P-,-3,-2,-1,0,1,2,3
Even a small mistake can cause you to doubt your overall abilities and knowledge.,Nothing,-3,-2,-1,0,1,2,3
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,I-,-3,-2,-1,0,1,2,3
You are not too interested in discussions about various interpretations of creative works.,N-,-3,-2,-1,0,1,2,3
You prioritize facts over people’s feelings when determining a course of action.,T+,-3,-2,-1,0,1,2,3
You often allow the day to unfold without any schedule at all.,P+,-3,-2,-1,0,1,2,3
You rarely worry about whether you make a good impression on people you meet.,Nothing,-3,-2,-1,0,1,2,3
You enjoy participating in team-based activities.,I-,-3,-2,-1,0,1,2,3
You enjoy experimenting with new and untested approaches.,N+,-3,-2,-1,0,1,2,3
You prioritize being sensitive over being completely honest.,T-,-3,-2,-1,0,1,2,3
You actively seek out new experiences and knowledge areas to explore.,N+,-3,-2,-1,0,1,2,3
You are prone to worrying that things will take a turn for the worse.,Nothing,-3,-2,-1,0,1,2,3
You enjoy solitary hobbies or activities more than group ones.,I+,-3,-2,-1,0,1,2,3
You cannot imagine yourself writing fictional stories for a living.,N-,-3,-2,-1,0,1,2,3
"You favor efficiency in decisions, even if it means disregarding some emotional aspects.",T+,-3,-2,-1,0,1,2,3
You prefer to do your chores before allowing yourself to relax.,P-,-3,-2,-1,0,1,2,3
"In disagreements, you prioritize proving your point over preserving the feelings of others.",T+,-3,-2,-1,0,1,2,3
You usually wait for others to introduce themselves first at social gatherings.,I+,-3,-2,-1,0,1,2,3
Your mood can change very quickly.,Nothing,-3,-2,-1,0,1,2,3
You are not easily swayed by emotional arguments.,T+,-3,-2,-1,0,1,2,3
You often end up doing things at the last possible moment.,P+,-3,-2,-1,0,1,2,3
You enjoy debating ethical dilemmas.,N+,-3,-2,-1,0,1,2,3
You usually prefer to be around others rather than on your own.,I-,-3,-2,-1,0,1,2,3
You become bored or lose interest when the discussion gets highly theoretical.,N-,-3,-2,-1,0,1,2,3
"When facts and feelings conflict, you usually find yourself following your heart.",T-,-3,-2,-1,0,1,2,3
You find it challenging to maintain a consistent work or study schedule.,P+,-3,-2,-1,0,1,2,3
You rarely second-guess the choices that you have made.,Nothing,-3,-2,-1,0,1,2,3
Your friends would describe you as lively and outgoing.,I-,-3,-2,-1,0,1,2,3
"You are drawn to various forms of creative expression, such as writing.",N+,-3,-2,-1,0,1,2,3
You usually base your choices on objective facts rather than emotional impressions.,T+,-3,-2,-1,0,1,2,3
You like to have a to-do list for each day.,P-,-3,-2,-1,0,1,2,3
You rarely feel insecure.,Nothing,-3,-2,-1,0,1,2,3
You avoid making phone calls.,I+,-3,-2,-1,0,1,2,3
You enjoy exploring unfamiliar ideas and viewpoints.,N+,-3,-2,-1,0,1,2,3
You can easily connect with people you have just met.,I-,-3,-2,-1,0,1,2,3
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",P-,-3,-2,-1,0,1,2,3
You are still bothered by mistakes that you made a long time ago.,Nothing,-3,-2,-1,0,1,2,3
You are not too interested in discussing theories on what the world could look like in the future.,N-,-3,-2,-1,0,1,2,3
Your emotions control you more than you control them.,T-,-3,-2,-1,0,1,2,3
"When making decisions, you focus more on how the affected people might feel than on what is most logical or efficient.",T-,-3,-2,-1,0,1,2,3
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,P+,-3,-2,-1,0,1,2,3
"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",Nothing,-3,-2,-1,0,1,2,3
You would love a job that requires you to work alone most of the time.,I+,-3,-2,-1,0,1,2,3
You believe that pondering abstract philosophical questions is a waste of time.,N-,-3,-2,-1,0,1,2,3
"You feel more drawn to busy, bustling atmospheres than to quiet, intimate places.",I-,-3,-2,-1,0,1,2,3
"If a decision feels right to you, you often act on it without needing further proof.",Not sure,-3,-2,-1,0,1,2,3
You often feel overwhelmed.,Nothing,-3,-2,-1,0,1,2,3
You complete things methodically without skipping over any steps.,P-,-3,-2,-1,0,1,2,3
You prefer tasks that require you to come up with creative solutions rather than follow concrete steps.,N+,-3,-2,-1,0,1,2,3
You are more likely to rely on emotional intuition than logical reasoning when making a choice.,T-,-3,-2,-1,0,1,2,3
You struggle with deadlines.,P+,-3,-2,-1,0,1,2,3
You feel confident that things will work out for you.,Nothing,-3,-2,-1,0,1,2,3